framenumber, query_x, query_y, objx, objy, distance, 
11, 12.762848, 48.954848, 91.061263, 55.292360, 0.258552, 
11, 143.230353, 57.429070, 139.114918, 69.064472, 0.164329, 
11, 109.290966, 95.053027, 120.915552, 37.807321, 0.197753, 
11, 80.541504, 34.280886, 132.907026, 83.013709, 0.149816, 
11, 81.009632, 43.436595, 133.912031, 77.413169, 0.085263, 
11, 102.678039, 28.601293, 132.907026, 83.013709, 0.238898, 
11, 25.939332, 24.553069, 33.397741, 25.224178, 0.120600, 
11, 84.918453, 100.505054, 136.111140, 102.848831, 0.158077, 
11, 24.511284, 81.496509, 34.074382, 85.169870, 0.227328, 
11, 60.887362, 84.406137, 71.290581, 88.481386, 0.173500, 
11, 39.592841, 68.696345, 92.190595, 74.133351, 0.178309, 
11, 40.896677, 34.939315, 49.321031, 37.558134, 0.412433, 
11, 42.967501, 95.929698, 54.452777, 99.857637, 0.229430, 
11, 59.840726, 69.189224, 70.069543, 71.811686, 0.055378, 
11, 116.631135, 38.536303, 37.992861, 109.614050, 0.423376, 
11, 27.360136, 74.008903, 38.282046, 77.941146, 0.203933, 
11, 144.475129, 23.434235, 124.903512, 68.757064, 0.339844, 
11, 97.834646, 22.861455, 146.453983, 17.448645, 0.320090, 
11, 37.294597, 76.428461, 47.093535, 79.869132, 0.053191, 
11, 47.282635, 88.191355, 151.694401, 63.443667, 0.168057, 
11, 77.740612, 61.209448, 132.952150, 91.879684, 0.185011, 
11, 105.891634, 48.737249, 136.111140, 102.848831, 0.214991, 
12, 99.569177, 64.953778, 147.962507, 65.492189, 0.157917, 
12, 46.546145, 79.954341, 56.096202, 83.122443, 0.198959, 
12, 136.143886, 102.665245, 92.131904, 74.023202, 0.218595, 
12, 24.847682, 68.446432, 32.023537, 71.298745, 0.219555, 
12, 31.200173, 95.488159, 82.288453, 91.075811, 0.274271, 
12, 59.076521, 51.857232, 49.492774, 54.141374, 0.219095, 
12, 108.790380, 95.487379, 120.158664, 38.119701, 0.190064, 
12, 75.119815, 35.647212, 120.158664, 38.119701, 0.519251, 
12, 25.896729, 24.691512, 33.550353, 25.517438, 0.112291, 
12, 52.671666, 24.958234, 61.970496, 26.878127, 0.255825, 
12, 84.915182, 100.485952, 136.267094, 103.529242, 0.257235, 
12, 102.334353, 65.940415, 132.569706, 70.767514, 0.071988, 
12, 58.047470, 74.199153, 68.692470, 77.416626, 0.126308, 
12, 60.887943, 84.409690, 71.344373, 88.498625, 0.199711, 
12, 81.304574, 75.032106, 130.108377, 93.110068, 0.187881, 
12, 42.910067, 95.984125, 54.086992, 99.649269, 0.165447, 
12, 73.981627, 52.937360, 124.634445, 56.672661, 0.479209, 
12, 59.821024, 69.199917, 70.677336, 71.910394, 0.039419, 
